CAU_2013	CAU_name_2013	CAU_average_NZDep2013	CAU_average_NZDep_score_2013
577700	Makara-Ohariu	1	904
577900	Mangatainoka	5	970
578000	Pahiatua	9	1072
578100	Eketahuna	10	1120
578200	Nireaha-Tiraumea	5	965
578301	Homebush-Te Ore Ore	3	930
578302	Opaki-Fernridge	2	921
578401	Kopuaranga	3	933
578402	Whareama	3	937
578600	Masterton Central	9	1082
578700	Masterton West	7	1021
578800	Masterton East	10	1156
578901	Solway North	8	1031
578902	Solway South	8	1039
579000	Ngaumutawa	8	1041
579100	Masterton Railway	9	1107
579200	Lansdowne	7	1016
579400	Waingawa	2	918
579501	Mt Holdsworth	3	932
579502	Te Wharau	2	923
579700	Carterton	7	1012
579802	Tuturumuri	4	954
579803	Kahutara	2	924
579900	Greytown	5	959
580000	Featherston	9	1060
580100	Martinborough	6	995
580200	Havelock	6	997
580300	Renwick	4	958
580410	Woodbourne	6	996
580420	Omaka	3	929
580431	Spring Creek-Grovetown	4	955
580432	Riverlands	1	912
580442	Waikawa	4	946
580446	Marlborough Sounds Terrestrial	5	961
580447	Wairau North	3	943
580448	Tuamarina	3	935
580449	Rapaura	1	908
580450	Wairau South	2	923
580451	Weld Pass	2	920
580452	Fairhall	1	885
580600	Severn	2	912
580801	Ward	3	933
580802	Seddon	9	1071
581100	Picton	8	1033
581210	Springlands	4	953
581220	Mayfield	9	1061
581230	Blenheim Central	8	1034
581240	Whitney	7	1007
581250	Redwoodtown	7	1010
581260	Witherlea	3	928
581400	Kaikoura Township	7	1008
581500	Kaikoura Rural	4	954
581601	Golden Bay	6	976
581602	Takaka	7	1021
581713	Glenduan	1	896
581715	Ngawhatu	2	923
581717	Aniseed Hill	1	888
581720	Hope	3	942
581721	Saxton Island	5	974
581723	Saxton	3	937
581724	Best Island	5	964
581726	Ranzau	3	941
581811	Richmond Hill	2	912
581812	Whangamoa	3	935
581822	Brightwater	2	914
581823	Wakefield	2	926
581825	Mapua	3	932
581832	Kaiteriteri	6	980
581833	Motueka Outer	5	963
581834	Rabbit Island	8	1024
581836	Wai-Iti	3	928
581841	Golden Downs	5	973
581842	Lake Rotoroa	5	961
581843	Murchison	6	977
581844	Tapawera	9	1070
581850	Riwaka	6	979
582000	Clifton	1	911
582100	Atawhai	2	927
582200	Port Nelson	6	979
582300	The Wood	7	1013
582401	Britannia	3	937
582402	Washington	8	1049
582500	Trafalgar	8	1032
582600	Maitai	6	996
582700	Kirks	8	1047
582800	Bronte	5	965
582900	Atmore	4	949
583000	Tahunanui	9	1059
583100	Tahuna Hills	3	939
583201	Toi Toi	8	1054
583202	Broads	9	1080
583300	Grampians	8	1039
583400	The Brook	6	990
583500	Nelson Airport	8	1031
583600	Nayland	6	987
583700	Enner Glynn	4	955
583800	Maitlands	6	978
583900	Isel Park	8	1027
584000	Langbein	6	979
584201	Richmond East	5	970
584202	Richmond West	4	958
584301	Motueka West	7	1004
584303	Motueka East	7	1022
584305	Jackett Island	7	1013
584402	Karamea	7	1017
584403	Hector-Ngakawau	9	1102
584404	Granity	9	1094
584405	Orowaiti	4	947
584407	Little Wanganui	7	1003
584408	Mokihinui	8	1048
584409	Buller Coalfields	7	1015
584410	Westport Rural	4	944
584411	Charleston	5	972
584412	Inangahua Junction	9	1061
584500	Westport Urban	8	1024
584600	Reefton	6	987
584701	Inangahua Valley	7	998
584702	Mawheraiti	5	971
584703	Maruia	6	984
584800	Karoro	1	901
584911	Kaiata	5	961
584912	South Beach-Camerons	1	907
584922	Blackball	9	1074
584923	Point Elizabeth	8	1043
584930	Dobson	7	1013
584931	Barrytown	6	979
584932	Coal Creek	4	957
584933	Atarau	2	923
584934	Greymouth Rural	6	984
584935	Marsden-Hohonu	3	937
584936	Arnold Valley	6	982
584937	Nelson Creek-Ngahere	6	985
584938	Ahaura	4	944
584939	Lake Brunner	6	983
584940	Haupiri	7	1002
585000	Runanga-Rapahoe	8	1037
585110	Cobden	9	1077
585120	Blaketown	7	1015
585130	Greymouth Central	8	1053
585140	Greymouth South	5	964
585306	Kumara	8	1030
585307	Kaniere	3	931
585309	Ross	6	980
585311	Harihari	6	975
585312	Franz Josef	4	957
585313	Fox Glacier	4	956
585314	Taramakau	5	970
585315	Otira	7	1009
585316	Waimea-Arahura	3	940
585317	Hokitika Rural	4	958
585318	Hokitika Valley	4	944
585319	Totara River	5	961
585320	Waitaha	3	941
585321	Whataroa	4	956
585322	Waiho	3	932
585323	Karangarua	6	983
585324	Bruce Bay-Paringa	6	986
585325	Haast	5	973
585400	Hokitika Urban	7	1006
585502	Hanmer Springs	4	949
585504	Culverden	5	973
585505	Waiau	8	1048
585506	Amuri	2	927
585601	Parnassus	5	961
585602	Cheviot	8	1039
585700	Hurunui	4	952
585802	Amberley	6	976
585803	Leithfield	3	939
585805	Sefton	3	931
585806	Okuku	2	915
585807	Loburn	1	904
585808	Ashley	2	914
586001	Camside	7	1005
586002	Pines-Kairaki Beach	7	1022
586112	Waikuku	4	951
586114	Cust	1	912
586115	Mairaki	1	899
586120	Woodend	2	918
586121	Fernside	1	905
586122	Lehmans	1	888
586124	Pegasus	1	897
586126	Woodend Beach	8	1055
586127	Coldstream	3	939
586128	Ravenswood	3	942
586129	Tuahiwi	2	921
586130	Woodend West	5	960
586303	Rangiora East	6	980
586304	Southbrook	4	958
586305	Kingsbury	1	905
586306	Rangiora North	7	999
586307	Rangiora West	3	941
586308	Rangiora Central	6	996
586403	Kaiapoi South	7	1003
586404	Mansfield	2	920
586405	Courtenay	2	916
586407	Kaiapoi East	6	988
586408	Kaiapoi North West	6	989
586409	Kaiapoi North East	2	920
586501	Clarkville	3	930
586503	Kaiapoi West	7	1007
586504	Silverstream	4	949
586603	Mandeville	1	895
586604	Ohoka	1	876
586605	West Eyreton	1	893
586606	Eyrewell	2	914
586801	Ashley Gorge	3	931
586802	Oxford	5	962
586900	Darfield	3	929
587010	Kirwee	1	899
587020	Burnham Military Camp	4	954
587100	Malvern	4	948
587302	Halswell South	1	910
587303	Oaklands West	1	906
587304	Oaklands East	3	939
587400	Hornby North	7	1022
587500	Hornby South	7	1008
587701	Sockburn	7	1009
587702	Wigram	3	940
587811	Yaldhurst	2	923
587812	Broomfield	7	1017
587821	Paparua	7	1005
587822	Templeton	3	934
587830	Islington	6	982
587842	Halswell West	1	901
587844	Westmorland	1	884
587845	Aidanfield	1	895
587846	Halswell Domain	1	889
587847	Hendersons Basin	5	969
587848	Prebbleton	1	876
587849	Trents-Ladbrooks	1	886
587902	Mcleans Island	1	904
587903	Kennedys Bush	1	881
587904	West Melton	1	892
587905	Taitapu	1	880
588101	Redwood North	4	947
588102	Redwood South	4	946
588200	Styx Mill	5	972
588300	Casebrook	9	1056
588401	Belfast South	1	896
588402	Sawyers Arms	2	923
588500	Bishopdale North	4	943
588600	Harewood	4	954
588700	Bishopdale	5	971
588800	Russley	2	921
588900	Burnside	4	945
589000	Wairarapa	6	976
589100	Jellie Park	9	1072
589200	Bryndwr	2	920
589300	Holmwood	1	892
589400	Fendalton	2	924
589500	Deans Bush	1	893
589601	Hawthornden	2	917
589602	Merrin	3	934
589700	Westburn	3	929
589800	Avonhead West	3	939
589900	Avonhead	3	930
590000	Ilam	5	965
590100	Upper Riccarton	7	1005
590200	Wharenui	7	1021
590300	Middleton	6	994
590400	Belfast	5	964
590501	Travis Wetland	1	905
590504	Mairehau North	3	931
590505	Westhaven	1	904
590506	Highfield Park	3	941
590507	Prestons	2	919
590602	Parklands	6	976
590603	Waimairi Beach	2	922
590604	Styx	5	964
590701	Mona Vale	3	942
590702	Riccarton West	8	1030
590800	Riccarton	6	994
590900	Riccarton South	8	1031
591101	Cashmere West	1	888
591102	Cashmere East	1	887
591200	Rapaki Track	2	919
591300	Heathcote Valley	3	931
591500	Cathedral Square	7	1015
591600	Hagley Park	6	977
591700	Avon Loop	8	1029
591800	Northcote	7	1009
591900	Papanui	4	951
592000	Aorangi	5	965
592100	Strowan	2	912
592200	Merivale	4	945
592300	Rutland	2	916
592401	St Albans West	6	982
592402	St Albans East	7	1000
592500	Mairehau	4	946
592600	Edgeware	7	1014
592701	Shirley West	8	1028
592702	Shirley East	8	1037
592811	Burwood	5	975
592812	Dallington	6	993
592820	Travis	5	963
592900	Avondale	5	970
593000	Wainoni	8	1055
593100	Aranui	10	1170
593200	Richmond North	5	975
593300	Richmond South	9	1062
593400	Avonside	9	1097
593501	Linwood	9	1102
593502	Phillipstown	9	1108
593600	Linwood North	8	1047
593700	Linwood East	9	1077
593800	Bexley	9	1072
593900	Bromley	8	1055
594010	Woolston West	9	1065
594020	Ferrymead	7	1020
594100	Woolston South	8	1054
594200	Ensors	8	1049
594300	Opawa	4	957
594400	St Martins	2	920
594500	Waltham	9	1104
594600	Sydenham	8	1038
594700	Addington	8	1048
594800	Barrington North	7	1001
594900	Barrington South	4	949
595000	Spreydon	7	1006
595100	Hoon Hay	4	943
595200	Hoon Hay South	2	925
595300	Hillmorton	7	1022
595400	Somerfield	4	947
595500	Beckenham	1	908
595600	North Beach	6	989
595700	Rawhiti	8	1025
595800	New Brighton	7	1006
595900	South Brighton	4	954
596000	Mt Pleasant	1	882
596102	Moncks Bay	1	902
596200	Sumner	1	911
596400	Lyttelton	3	937
596502	Diamond Harbour	1	911
596503	Governors Bay	1	888
596600	Port Levy	4	948
596800	Akaroa	5	966
596901	Akaroa Harbour	4	950
596902	Banks Peninsula Eastern Bays	4	956
597000	Chatham Islands	7	1008
597101	Little River	3	937
597200	Lincoln	2	913
597300	Leeston	4	951
597400	Southbridge	2	922
597503	Dunsandel	2	924
597506	Selwyn-Rakaia	3	932
597507	Rolleston North West	1	902
597508	Rolleston Central	1	903
597509	Rolleston North East	1	899
597510	Rolleston South West	1	876
597512	Springston	2	915
597513	Rolleston South East	1	893
597600	Methven	2	926
597712	Plains Railway	2	916
597713	Ashburton North	2	914
597714	Fairton	1	912
597715	Ashburton East	2	913
597720	Mt Somers	2	922
597730	Hinds	3	928
597741	Chertsey	4	953
597742	Rakaia	6	982
597811	Allenton West	6	980
597812	Allenton East	4	944
597820	Ashburton Central West	6	987
597830	Netherby	8	1044
597840	Ashburton Central East	8	1050
597850	Hampstead	7	1017
597860	Tinwald	5	966
598000	Winchester	8	1052
598201	Fairview-Scarborough	2	915
598202	Otipua Creek-Washdyke Flat	2	915
598311	Ben Mcleod	7	1000
598312	Orari	3	935
598313	Levels	2	919
598314	Pareora	8	1035
598320	Pleasant Point	4	953
598500	Geraldine	6	980
598600	Temuka	6	995
598700	Washdyke	5	972
598800	Waimataitai	8	1034
598900	Marchwiel	7	1012
599000	Maori Park	7	1018
599100	Highfield	4	950
599200	Glenwood	6	998
599300	Gleniti	2	913
599400	Fraser Park	5	967
599500	Seaview	8	1041
599600	Watlington	6	984
599700	Parkside	8	1044
599800	Timaru Gardens	8	1050
599900	Redruth	5	967
600100	Twizel Community	4	946
600200	Fairlie	5	963
600312	Mt Cook	5	966
600320	Lake Tekapo	3	935
600323	Mackenzie	2	925
600410	Waihao	4	946
600420	St Andrews	6	980
600500	Waimate	9	1059
600600	Weston	2	924
600811	Pukeuri	6	983
600812	Ardgowan	2	914
600813	Cape Wanbrow	2	924
600822	Duntroon	6	995
600824	Kurow	7	1014
600826	Maheno	4	949
600827	Omarama	3	929
600828	Kakanui	5	973
600830	Otematata	4	944
600831	Aviemore	4	954
600840	Hampden	7	1011
601010	Oamaru North	7	1018
601020	Orana Park	8	1039
601030	Oamaru Central	7	1009
601040	Oamaru South	6	980
601200	Palmerston	6	991
601301	Waihemo	4	947
601302	Hyde	2	924
601400	Waikouaiti	6	976
601500	Aramoana	5	968
601602	Waitati	5	964
601603	Evansdale	3	942
601604	Karitane	6	982
601605	Warrington	4	950
601700	Nenthorn	4	958
601900	Fairfield	1	898
602000	Brighton	4	953
602100	Waldronville	2	927
602200	Outram	2	912
602300	Middlemarch	7	1002
602411	Wyllies Crossing	4	954
602412	Wingatui	1	903
602421	Kaikorai Hill	2	917
602422	Saddle Hill	1	908
602500	Taieri	1	907
602600	Strath Taieri	3	935
602800	Harbourside	8	1030
602900	Fernhill	9	1076
603000	High St-Stuart St	7	1013
603100	Stuart St-Frederick St	8	1050
603210	Opoho	3	942
603220	Forrester Park	5	966
603300	North East Valley	7	1021
603400	Pine Hill	7	1015
603500	Woodhaugh	6	979
603601	North Dunedin	9	1103
603602	Otago University	9	1081
603710	Maori Hill	2	912
603720	Balmacewen	4	944
603810	Glenleith	1	911
603820	Helensburgh	2	925
603910	Wakari	6	991
603920	Halfway Bush	6	989
603930	Brockville	8	1030
604010	Roslyn North	3	932
604020	Roslyn South	3	935
604110	Mornington	5	966
604120	Belleknowes	3	929
604130	Kenmure	3	933
604210	Caversham	8	1051
604221	Corstorphine West	9	1082
604222	Corstorphine East	4	950
604300	Caledonian	10	1117
604410	South Dunedin	10	1180
604420	Forbury	9	1095
604500	St Clair	6	989
604611	Musselburgh	4	956
604612	Andersons Bay	2	925
604620	Vauxhall	1	904
604710	St Leonards-Blanket Bay	2	916
604720	Ravensbourne	5	968
604810	Inner Peninsula	3	934
604821	Company Bay	1	911
604822	Macandrew Bay	1	905
604830	Broad Bay-Portobello	2	923
604901	Taiaroa-Cape Saunders	7	1011
604902	Sandymount	2	913
605100	Sawyers Bay	4	959
605200	Port Chalmers	7	1021
605400	St Kilda West	5	968
605500	St Kilda Central	9	1068
605600	St Kilda East	8	1033
605800	Green Island	6	983
605910	Abbotsford	3	928
605920	Concord	6	993
606100	Mosgiel East	6	997
606210	Mosgiel South	7	998
606220	East Taieri	1	905
606300	Bush Road	6	978
606500	Benhar	7	1008
606600	Stirling	4	945
606700	Bruce	4	952
606800	Milton	8	1032
606900	Kaitangata	7	1019
607000	Clinton	8	1026
607100	Kaka Point	4	952
607200	Owaka	6	995
607300	Clutha	3	930
607400	Balclutha	6	992
607501	Teviot	4	945
607502	Tuapeka	2	919
607600	Tapanui	5	971
607700	Lawrence	6	988
607800	Roxburgh	7	998
607900	Ranfurly	5	971
608000	Maniototo	2	922
608100	Naseby	4	958
608302	Dunstan	2	913
608303	Clyde	3	941
608304	Hawea	2	919
608500	Alexandra	5	968
608600	Cromwell	5	964
608700	Frankton	3	936
608800	Wanaka	2	924
609011	Milford	6	989
609013	Glenorchy	5	961
609014	Kingston South	3	937
609022	Kelvin Heights	1	881
609023	Sunshine Bay	3	936
609028	Lake Hayes	1	893
609029	Matukituki	1	892
609031	Outer Wakatipu	1	900
609032	Wakatipu Basin	1	880
609033	Frankton East	1	887
609034	Lake Hayes South	1	883
609035	Jacks Point	1	881
609200	Arrowtown	1	910
609302	Queenstown Hill	3	942
609303	Arthurs Point	1	889
609304	Queenstown Bay	6	985
609400	Balfour Community	6	984
609500	Riversdale Community	3	930
609600	Lumsden Community	7	1006
609700	Edendale Community	4	958
609800	Wyndham	7	1002
609911	Makarewa North	2	912
609912	Makarewa	2	913
609913	Bay Road West	1	901
609914	Mill Road-Woodend	3	939
609921	Bushy Point	1	888
609922	Otatara	1	890
610010	Charlton	2	918
610020	Waikaia	2	926
610031	Kaweku	2	915
610032	Chatton	1	910
610033	Kaiwera	2	917
610040	Hokonui	2	919
610051	Waianiwa	2	920
610052	Oreti Beach	3	932
610061	Dacre	2	914
610062	Myross Bush	1	880
610072	Waituna	3	931
610073	Woodlands	2	924
610074	Greenhills	4	944
610080	Toetoes	3	933
610090	Wallacetown	3	932
610210	North Gore	5	968
610220	East Gore	8	1025
610230	Central Gore	6	992
610240	West Gore	5	970
610250	South Gore	7	1007
610400	Mataura	9	1065
610500	Winton	5	962
610601	Grasmere	5	974
610602	Waikiwi	4	951
610700	Rosedale	2	919
610800	Gladstone-Avenal	4	951
610900	Windsor	6	976
611001	Waverley-Glengarry	8	1039
611002	Hawthorndale	7	1007
611100	Richmond	7	1005
611210	Otakaro Park	9	1082
611220	Crinan	10	1177
611300	West Invercargill	10	1141
611400	Georgetown	9	1056
611500	Newfield-Rockdale	7	1001
611601	Heidelberg	9	1075
611602	Strathern	9	1067
611700	Appleby-Kew	9	1087
611800	Kingswell-Clifton	9	1063
611900	Tisbury	4	958
612100	Bluff	8	1032
612200	Nightcaps	9	1059
612300	Ohai	10	1166
612400	Te Anau	4	947
612500	Tuatapere	7	1021
612600	Otautau	7	1016
612712	Manapouri	4	948
612713	Mossburn	4	953
612714	Mararoa River	1	911
612720	Wairio	4	952
612730	Te Waewae	5	969
612740	Fairfax	3	933
612801	Riverton East	8	1049
612802	Riverton West	6	987
612901	Fiordland	3	930
613000	Stewart Island	4	956
